date,airline,text
02-05-2025,Indigo,"Cabin crew was polite and helpful, enjoyed the journey."
09-09-2025,Air India,Smooth check-in process and great hospitality.
02-01-2025,Vistara,Smooth check-in process and great hospitality.
03-09-2025,Air India,The flight was on time and the crew was very friendly.
16-04-2025,Air India,Very cramped seating and poor food quality.
11-02-2025,Vistara,Smooth check-in process and great hospitality.
23-07-2025,Vistara,"Decent experience, could be better."
16-02-2025,Air Asia,Unhelpful staff and uncomfortable journey.
05-04-2025,Spicejet,"Decent experience, could be better."
06-04-2025,Vistara,Smooth check-in process and great hospitality.
14-08-2025,Vistara,"Average service, but acceptable for the price."
18-05-2025,Akasa,"Excellent service, very comfortable seating."
19-02-2025,Indigo,Very cramped seating and poor food quality.
31-07-2025,Akasa,Value for money and pleasant travel experience.
01-02-2025,Vistara,Unhelpful staff and uncomfortable journey.
